Village_ID,Latitude,Longitude,Affected_People,Cluster
Village_002,30.510841958683578,75.96161576464128,474,2
Village_007,31.312191573567574,74.37569370453265,1194,1
Village_008,30.67968376367651,76.05920216341941,1334,2
Village_009,30.139466046416185,76.41882290639845,1558,0
Village_012,30.143222918655127,76.37806524818795,2282,0
Village_023,30.512782759097888,75.43132768157176,1851,2
Village_024,30.622178396730646,76.48379648451514,1233,0
Village_025,31.75657260876667,74.64420808588821,1925,1
Village_027,29.413089213568586,76.66766587653133,161,0
Village_029,30.82311483925687,75.9749894000291,1084,2
Village_036,30.77580676704884,76.27781656521103,2165,2
Village_040,31.299930117036457,75.36138555853076,2432,1
Village_041,30.228430074645335,75.84072014359276,783,2
Village_051,29.95819370019586,76.54575735072231,1758,0
Village_056,30.786428164759887,75.77794664901657,2253,2
Village_057,30.420958977986945,76.65363800512205,913,0
Village_058,32.08478888499257,74.56649884538265,2253,1
Village_060,30.409200894324606,76.67659050140182,122,0
Village_063,29.913043775979073,76.60979376302184,1809,0
Village_068,31.207535741866813,75.76614192213216,1614,2
Village_071,30.52518762567861,76.01886534533512,2357,2
Village_072,30.286553663891418,76.6391192862817,2419,0
Village_087,30.164823846973697,76.76113270893858,404,0
Village_088,32.176133049396505,74.91499285002489,617,1
Village_089,30.644371678899002,75.92576050635368,224,2
Village_092,30.744425439523283,75.2658036743183,288,2
Village_098,30.816912813577666,76.5052019881653,334,0
Village_108,30.15974853188167,76.45265939145,865,0
Village_109,31.423722335069524,75.16736073395737,383,1
Village_115,31.553811578870473,75.25457189819552,1902,1
Village_118,31.546271320745586,75.16889114887375,126,1
Village_130,31.39752039484345,75.34603897818687,300,1
Village_138,31.12651645414852,76.52217933976748,1769,2
Village_140,30.86117382252967,76.19170819426839,1588,2
Village_144,30.529971628614373,76.71968333700462,490,0
Village_151,31.631835294901364,74.88644320781766,1945,1
Village_152,30.790441702124244,75.29030678461187,409,2
Village_155,31.016309904192855,75.5880297122052,1348,2
Village_164,31.243541581855528,75.96574519497237,2378,2
Village_167,30.4434356748233,76.08438539209051,282,2
Village_169,31.60806231595439,75.20429981217544,1702,1
Village_174,30.510106146741688,76.80162227540153,296,0
Village_182,30.834583207103854,75.83327319291925,872,2
Village_183,30.103699490515115,76.00145819873495,387,0
Village_186,31.161015291222334,76.73508644244055,1889,2
Village_189,29.840501349163297,76.5770392328417,344,0
Village_190,31.469661534009017,74.65090247441097,485,1
Village_191,30.692662126516396,75.54760323061205,516,2
Village_192,29.45403416741822,76.6196247705443,2457,0
Village_198,30.427915072425346,75.4206658044391,681,2
